iter	Logloss
0	0.6771348883
1	0.6630039917
2	0.6510111737
3	0.6400463986
4	0.630828532
5	0.6223843911
6	0.61746786
7	0.6130251134
8	0.6069137347
9	0.6034037191
10	0.6001580457
11	0.5969022711
12	0.5942226599
13	0.5914744156
14	0.5904349512
15	0.5894408349
16	0.5884350778
17	0.5844817848
18	0.5835499255
19	0.582766048
20	0.5819062444
21	0.5799842248
22	0.579194513
23	0.5772493729
24	0.5765235412
25	0.5747936258
26	0.5741795027
27	0.5725295202
28	0.5707864729
29	0.5701486963
30	0.5696773887
31	0.5691535384
32	0.5687098889
33	0.5671269929
34	0.5666075072
35	0.5653580834
36	0.5648840868
37	0.5635966254
38	0.5631394138
39	0.5627381832
40	0.5617075133
41	0.5612446353
42	0.560769936
43	0.5603405452
44	0.5599554033
45	0.559542638
46	0.5592135453
47	0.5588549942
48	0.5584878576
49	0.5580992823
50	0.557243765
51	0.55691552
52	0.5560992518
53	0.5557456884
54	0.5554694467
55	0.5551334233
56	0.5548782165
57	0.5539805525
58	0.5537040893
59	0.5534646851
60	0.5531803986
61	0.5528025018
62	0.5524323659
63	0.5522490536
64	0.5520154419
65	0.55177627
66	0.5515595463
67	0.5513849585
68	0.5511068612
69	0.5508052014
70	0.5499652054
71	0.5497581208
72	0.5495190493
73	0.548635536
74	0.5483789236
75	0.5481242808
76	0.5479022141
77	0.5476876377
78	0.5469778096
79	0.54678512
80	0.5464575475
81	0.5462805915
82	0.5461019916
83	0.5458863583
84	0.5456820033
85	0.5454869998
86	0.5452905464
87	0.5450228435
88	0.5442964574
89	0.5441482766
90	0.5439195583
91	0.5436568725
92	0.5434635349
93	0.5428815733
94	0.5426048867
95	0.5424412585
96	0.5422837409
97	0.5420293102
98	0.5418187603
99	0.5415944917
