iter	Passed	Remaining
0	8	799
1	15	770
2	24	794
3	34	817
4	39	754
5	46	731
6	52	694
7	57	665
8	66	667
9	113	1020
10	120	974
11	128	941
12	135	905
13	150	925
14	156	889
15	163	856
16	169	828
17	186	849
18	193	822
19	199	798
20	206	775
21	213	755
22	221	742
23	228	725
24	235	707
25	241	686
26	246	667
27	252	649
28	258	631
29	263	613
30	267	596
31	273	580
32	278	566
33	284	552
34	289	537
35	294	524
36	300	511
37	306	499
38	311	487
39	317	475
40	322	464
41	327	452
42	333	441
43	338	430
44	344	420
45	349	410
46	355	400
47	360	390
48	366	380
49	371	371
50	377	362
51	382	352
52	387	344
53	393	335
54	398	326
55	404	317
56	409	308
57	415	300
58	420	291
59	425	283
60	431	275
61	437	267
62	442	260
63	447	251
64	453	244
65	459	236
66	465	229
67	472	222
68	478	214
69	484	207
70	490	200
71	496	193
72	503	186
73	508	178
74	514	171
75	521	164
76	527	157
77	534	150
78	539	143
79	545	136
80	550	129
81	556	122
82	561	115
83	569	108
84	574	101
85	581	94
86	587	87
87	592	80
88	600	74
89	605	67
90	610	60
91	617	53
92	623	46
93	630	40
94	635	33
95	640	26
96	647	20
97	653	13
98	658	6
99	664	0
